"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","test_create_post[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_user_api","",""
"","447","test_hungarian_zip_code[chromium]","tests.API","Tue May 05 16:48:30 UTC 2026","passed","Tue May 05 16:48:30 UTC 2026","","test_finance_api","",""
"","1819","test_successful_login[chromium]","tests","Sun May 03 15:29:41 UTC 2026","failed","Sun May 03 15:29:43 UTC 2026","","test_login","",""
"","1160","test_full_flow_json_to_db_to_ui[chromium]","tests.UI","Tue May 05 16:48:32 UTC 2026","passed","Tue May 05 16:48:33 UTC 2026","","test_e2e_flow","",""
"","449","test_hungarian_zip_code[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_finance_api","",""
"","82","test_get_post_details[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_user_api","",""
"","1585","test_successful_login[chromium]","tests.UI","Tue May 05 16:48:33 UTC 2026","passed","Tue May 05 16:48:35 UTC 2026","","test_login","",""
"","15","test_api_speed[chromium]","tests.API","Tue May 05 16:48:31 UTC 2026","passed","Tue May 05 16:48:31 UTC 2026","","test_finance_api","",""
"","348","test_get_post_details[chromium]","tests.API","Tue May 05 16:48:31 UTC 2026","passed","Tue May 05 16:48:31 UTC 2026","","test_user_api","",""
"","15","test_api_speed[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_finance_api","",""
"","7294","test_full_flow_json_to_db_to_ui[chromium]","tests","Sun May 03 15:29:34 UTC 2026","passed","Sun May 03 15:29:41 UTC 2026","","test_e2e_flow","",""
"","92","test_create_post[chromium]","tests.API","Tue May 05 16:48:31 UTC 2026","passed","Tue May 05 16:48:32 UTC 2026","","test_user_api","",""
"","544","test_playwright_is_working[chromium]","tests.UI","Tue May 05 16:48:35 UTC 2026","passed","Tue May 05 16:48:36 UTC 2026","","test_ui_basic","",""
"","944","test_playwright_is_working[chromium]","tests","Sun May 03 15:29:43 UTC 2026","passed","Sun May 03 15:29:44 UTC 2026","","test_ui_basic","",""
"","3","test_file_to_db_integration","tests","Tue May 05 16:48:36 UTC 2026","passed","Tue May 05 16:48:36 UTC 2026","","test_integration","",""
